id,text,entities,relations,Comments
0,;;,"[{'id': 0, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
1,;;,"[{'id': 1, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
2,;;,"[{'id': 2, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
3,;;,"[{'id': 3, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
4,;;,"[{'id': 4, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
5,;;,"[{'id': 5, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
6,;;,"[{'id': 6, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
7,;;,"[{'id': 7, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
8,;;,"[{'id': 8, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
9,;;,"[{'id': 9, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
10,;;,"[{'id': 10, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
11,;;,"[{'id': 11, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
12,;;,"[{'id': 12, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
13,;;,"[{'id': 13, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
14,;;,"[{'id': 14, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
15,;;,"[{'id': 15, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
16,;;,"[{'id': 16, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
17,;;,"[{'id': 17, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
18,;;,"[{'id': 18, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
19,;;,"[{'id': 19, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
20,;;,"[{'id': 20, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
21,;;,"[{'id': 21, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
22,;;,"[{'id': 22, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
23,;;,"[{'id': 23, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
24,;;,"[{'id': 24, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
25,;;,"[{'id': 25, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
26,;;,"[{'id': 26, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
27,;;,"[{'id': 27, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
28,;;,"[{'id': 28, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
29,;;,"[{'id': 29, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
30,;;,"[{'id': 30, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
31,;;,"[{'id': 31, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
32,;;,"[{'id': 32, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
33,;;,"[{'id': 33, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
34,;;,"[{'id': 34, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
35,;;,"[{'id': 35, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
36,;;,"[{'id': 36, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
37,;;,"[{'id': 37, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
38,;;,"[{'id': 38, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
39,;;,"[{'id': 39, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
40,;;,"[{'id': 40, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
41,;;,"[{'id': 41, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
42,;;,"[{'id': 42, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
43,;;,"[{'id': 43, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
44,;;,"[{'id': 44, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
45,;;,"[{'id': 45, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
46,;;,"[{'id': 46, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
47,;;,"[{'id': 47, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
48,;;,"[{'id': 48, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
49,;;,"[{'id': 49, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
50,;;,"[{'id': 50, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
51,;;,"[{'id': 51, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
52,;;,"[{'id': 52, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
53,;;,"[{'id': 53, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
54,;;,"[{'id': 54, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
55,;;,"[{'id': 55, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
56,;;,"[{'id': 56, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
57,;;,"[{'id': 57, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
58,;;,"[{'id': 58, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
59,;;,"[{'id': 59, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
60,;;,"[{'id': 60, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
61,;;,"[{'id': 61, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
62,;;,"[{'id': 62, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
63,;;,"[{'id': 63, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
64,;;,"[{'id': 64, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
65,;;,"[{'id': 65, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
66,;;,"[{'id': 66, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
67,;;,"[{'id': 67, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
68,;;,"[{'id': 68, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
69,;;,"[{'id': 69, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
70,;;,"[{'id': 70, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
71,;;,"[{'id': 71, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
72,;;,"[{'id': 72, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
73,;;,"[{'id': 73, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
74,;;,"[{'id': 74, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
75,;;,"[{'id': 75, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
76,;;,"[{'id': 76, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
77,;;,"[{'id': 77, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
78,;;,"[{'id': 78, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
79,;;,"[{'id': 79, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
80,;;,"[{'id': 80, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
81,;;,"[{'id': 81, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
82,;;,"[{'id': 82, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
83,;;,"[{'id': 83, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
84,;;,"[{'id': 84, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
85,;;,"[{'id': 85, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
86,;;,"[{'id': 86, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 0}]",[],[]
