id,text,entities,relations,Comments
9296,"Table 1 displays the different treatments employed, along with the number of subjects in each condition.;;","[{'id': 9622, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 106}]",[],[]
6908,"""because the messages are sent anonymously, the decision only depends on the number of other """"intend to spend"""" messages in the group."";;","[{'id': 6298, 'label': 'cause', 'start_offset': 13, 'end_offset': 42}, {'id': 6299, 'label': 'effect', 'start_offset': 48, 'end_offset': 134}]","[{'id': 2857, 'from_id': 6298, 'to_id': 6299, 'type': 'Rel_CE'}]",[]
7345,"according to branscombe and colleagues, this may be a threatening experience, particularly when people wish to be evaluated in terms of their individual qualities or expect to interact on an interpersonal basis.;;","[{'id': 7424, 'label': 'cause', 'start_offset': 96, 'end_offset': 162}, {'id': 7425, 'label': 'cause', 'start_offset': 166, 'end_offset': 210}, {'id': 7426, 'label': 'effect', 'start_offset': 40, 'end_offset': 76}]","[{'id': 3359, 'from_id': 7424, 'to_id': 7426, 'type': 'Rel_CE'}, {'id': 3360, 'from_id': 7425, 'to_id': 7426, 'type': 'Rel_CE'}]",[]
7434,social rejection is believed to evoke a number of stable responses precisely because it threatens this basic need.;;,"[{'id': 7615, 'label': 'effect', 'start_offset': 0, 'end_offset': 76}, {'id': 7616, 'label': 'cause', 'start_offset': 85, 'end_offset': 113}]","[{'id': 3436, 'from_id': 7616, 'to_id': 7615, 'type': 'Rel_CE'}]",[]
6223,"in study 1, social exclusion was associated with feelings of anger, and anger was associated with antisocial behavior.;;","[{'id': 4472, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 120}]",[],[]
8672,The experimental evidence to date suggests that inefficiency is to be expected.;;,"[{'id': 8998, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 81}]",[],[]
8819,"Many of the studies she reviewed rely on self-report measures, such as, &dquo;how likely are you to recycle aluminum?&dquo;,;;","[{'id': 9145, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 126}]",[],[]
7586,"rather, developing rapport, and communicating her commitment to minimizing risk to participants and centering the voices was central to the relationship between olukotun and the study participants.;;","[{'id': 7963, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 199}]",[],[]
8853,"In other words, for individuals in interdependent cultures, threats to one's in-group tend to be perceived as strong as threats to oneself (Derlega, Cukur, Kuang, & Forsyth, 2002;Schooler, 1990afchooler, ,1990b;;Tajfel & Turner, 1986).;;","[{'id': 9179, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 237}]",[],[]
6067,in a cooperation game they find that a weak punishment has a large effect if the norm violators can be publicly observed.;;,"[{'id': 8305, 'label': 'cause', 'start_offset': 81, 'end_offset': 120}, {'id': 8306, 'label': 'effect', 'start_offset': 39, 'end_offset': 73}]","[{'id': 3768, 'from_id': 8305, 'to_id': 8306, 'type': 'Rel_CE'}]",[]
5719,"study 3 showed that ostracized participants primed with destiny beliefs, compared to ostracized participants primed with growth beliefs, gave less positive evaluations to an unknown job candidate.;;","[{'id': 3157, 'label': 'cause', 'start_offset': 20, 'end_offset': 71}, {'id': 5401, 'label': 'effect', 'start_offset': 147, 'end_offset': 195}]","[{'id': 2437, 'from_id': 3157, 'to_id': 5401, 'type': 'Rel_CE'}]",[]
6466,this raises the question of whether trust and/or chances of success might serve as independent mediators of the effects we observed.;;,"[{'id': 5092, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 134}]",[],[]
6895,just because you're imaging the brain doesn't mean you can stop using your head: a primer and set of first principles.;;,"[{'id': 8673, 'label': 'cause', 'start_offset': 13, 'end_offset': 50}, {'id': 8674, 'label': 'effect', 'start_offset': 51, 'end_offset': 79}]","[{'id': 3984, 'from_id': 8673, 'to_id': 8674, 'type': 'Rel_CE'}]",[]
9433,"Each individual's payoff is linear in her own contribution and in both public goods, and is given by:;;","[{'id': 9759, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 103}]",[],[]
5802,"thus, the reduced aggression in the public condition was not due to a fear of retaliation (which would be the same in the private condition) but rather a concern about how the neutral third party would perceive the aggressive act.;;","[{'id': 3365, 'label': 'effect', 'start_offset': 10, 'end_offset': 52}, {'id': 3366, 'label': 'cause', 'start_offset': 70, 'end_offset': 89}, {'id': 3367, 'label': 'cause', 'start_offset': 154, 'end_offset': 225}]","[{'id': 1471, 'from_id': 3366, 'to_id': 3365, 'type': 'Rel_Zero'}, {'id': 1472, 'from_id': 3367, 'to_id': 3365, 'type': 'Rel_CE'}]",[]
